,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
10,9,438,9_مركز_المركز_راءع_مركز راءع,"['مركز', 'المركز', 'راءع', 'مركز راءع', 'المركز اكثر', 'النواحي', 'متكامل', 'مركز متكامل', 'اكثر راءع', 'الرياض']","['مركز راءع', 'مركز روعه الطفوله', 'راءع مركز', 'مركز بيت الحنان', 'متكامل النواحي', 'راءع ناحيه', 'الاطفال مركز', 'المركز راءع', 'مركز ضيافه', 'النواحي نظافه']","['مركز راءع النواحي', 'مركز راءع متجاوب', 'مركز راءع للاطغال بمساحه']"
11,10,438,10_الاستاذه_للاستاذه_واخص_استاذه,"['الاستاذه', 'للاستاذه', 'واخص', 'استاذه', 'بالذكر', 'واخص بالذكر', 'القحطاني', 'والاستاذه', 'واستاذه', 'لاستاذه']","['واخص بالذكر استاذه', 'اشكر الاستاذه', 'وخاصه الاستاذه', 'الاستاذه سميه', 'واخص بالشكر', 'بالاخص الاستاذه', 'وبالاخص استاذه', 'الاستاذه نوف', 'الاستاذه عاءشه', 'الاستاذه']","['واخص بالشكر الاستاذه بسنت معلمه', 'واخص بالشكر للاستاذه شاهيناز', 'واخص بالذكر الاستاذه']"
12,11,432,11_يتعاملون_الاطفال_يعرفون_يتعاملون الاطفال,"['يتعاملون', 'الاطفال', 'يعرفون', 'يتعاملون الاطفال', 'يعرفون يتعاملون', 'العافيه', 'يهتمون', 'يعطيهم العافيه', 'يعطيهم', 'يعرفون يتعاملون الاطفال']","['يعرفون يتعاملون الاطفال', 'يتعاملون الاطفال', 'يعرفون يتعاملون', 'يتعاملون', 'يعاملون', 'يهتمون بادق', 'الاطفال كانهم عيالهم', 'يهتمون بالطفل', 'يهتمون', 'يحرصون']","['يعرفون يتعاملون الاطفال', 'يعرفون يتعاملون الاطفال', 'يعرفون يتعاملون الاطفال']"
13,12,426,12_الاطفال_حريصين_حريصين الاطفال_سلامه,"['الاطفال', 'حريصين', 'حريصين الاطفال', 'سلامه', 'الحروف', 'والحرص', 'الحرص', 'رياض الاطفال', 'عالاطفال', 'حريصه الاطفال']","['حنونات الاطفال', 'العاب الاطفال', 'حنونه الاطفال', 'الاطفال راءع', 'رعايه الاطفال', 'حريصه الاطفال', 'الاطفال الاخرين', 'حنونين الاطفال', 'الاطفال واضح', 'بال الاطفال']","['واحتواهم الاطفال', 'ونظاافتهم الاطفال', 'وتضرب الاطفال']"
14,13,391,13_بالطفل_واهتمام_واهتمامهم_الاهتمام,"['بالطفل', 'واهتمام', 'واهتمامهم', 'الاهتمام', 'اهتمام', 'اهتمامهم', 'والاهتمام', 'التفاصيل', 'واهتمامهم بالاطفال', 'اهتمام بالطفل']","['الاهتمام بالطفل', 'اهتمام بالطفل', 'واهتمامهم بالطفل', 'اهتمامهم بالطفل', 'بالطفل اهتمام', 'الاهتمام بالاطفال', 'واهتمام الاطفال', 'اهتمامهم بالطفل النواحي', 'واهتمامهم بالاطفال', 'اهتمام الاطفال']","['واهتمام بالطفل', 'واهتمام بالطفل', 'واهتمام بالطفل']"
15,14,363,14_اول_اول يوم_اول باول_باول,"['اول', 'اول يوم', 'اول باول', 'باول', 'اول مره', 'اولادي', 'اولا', 'اول اسبوع', 'يوم', 'اولي']","['اولادهم', 'اولادنا', 'انا اول', 'اول مره', 'اول باول', 'اول السنه', 'اول مره اشوف', 'اول', 'اولا', 'اول اسبوع']","['اول نظره', 'اول بااول', 'ويطمنون اول اول']"
16,15,350,15_والذوق_والحنان_والعاب_والعنايه,"['والذوق', 'والحنان', 'والعاب', 'والعنايه', 'والمشرفه', 'والهدوء', 'والتمهيدي', 'والصبر', 'والراءع', 'والراحه']","['والذوق', 'والوقت', 'والصدق', 'والسعر', 'والفرح', 'والعاب', 'والصبر', 'والصحه', 'والعنايه', 'والراءع']","['والذوق', 'والذوق', 'والذوق']"
17,16,311,16_الحضانات_افضل الحضانات_افضل_الحضانات اللي,"['الحضانات', 'افضل الحضانات', 'افضل', 'الحضانات اللي', 'افضل حضانه', 'الحضانات الي', 'الرياض', 'افضل الحضانات الي', 'افضل الروضات', 'اجمل الحضانات']","['افضل الحضانات', 'افضل الحضانات اللي', 'افضل الحضانات الي', 'افضل الروضات', 'احسن الحضانات', 'اروع الحضانات', 'افضل الاماكن', 'الحضانه افضل', 'اجمل الحضانات', 'الحضانات الي']","['وشغلهم افضل الحضانات الاجنبيه', 'افضل الحضانات', 'افضل الحضانات']"
18,17,307,17_كثيره_اشياء_كثير_اشياء كثيره,"['كثيره', 'اشياء', 'كثير', 'اشياء كثيره', 'والكل', 'وحاولت', 'يجلس', 'وتتقبل', 'وصارت', 'بحثت']","['اشياء كثيره', 'اشياء كثيره مفيده', 'كثيره مفيده', 'اللي يقدمونه', 'تعلمت اشياء', 'كثيره', 'وتعطيه', 'وتتقبل اي', 'كثير والله', 'اشياء كثير']","['وتعلم اشياء كثيره', 'وتتعلم اشياء كثيره', 'وعارف اشياء كثيره يدخله']"
19,18,303,18_واستاذه_والاستاذه_استاذه_الاستاذه,"['واستاذه', 'والاستاذه', 'استاذه', 'الاستاذه', 'نوره', 'لمي', 'كوثر', 'مشاعل', 'اسماء', 'مها']","['واستاذه مها', 'واستاذه سميه', 'واستاذه اسماء', 'واستاذه نوره', 'واستاذه مشاعل', 'واستاذه نوف', 'واستاذه تهاني', 'الاستاذه نوره', 'واستاذه مريم', 'واستاذه كوثر']","['واستاذه لءي', 'واستاذه مسعده', 'واستاذه اثيرر']"
