,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
34,34,144,34_وترفيه_المعلمات_والطالبات_العاملات,"['وترفيه', 'المعلمات', 'والطالبات', 'العاملات', 'العاملين', 'والطلاب', 'مدرسين', 'المعلمين', 'المهارات', 'ادوات']","['وترفيه', 'مدرسين', 'والطلاب', 'العاملين', 'التدريس', 'ادوات', 'المعلمين', 'والطالبات', 'ايضا', 'المعلمات']","['وترفيه', 'وترفيه', 'وترفيه']"
35,35,142,35_والحروف_والتعقيم_والارقام_والانجليزي,"['والحروف', 'والتعقيم', 'والارقام', 'والانجليزي', 'انجليزي', 'العربيه', 'انجليزيه', 'عربي', 'عربيه', 'التعقيم']","['والحروف', 'الحروف', 'حروف', 'الحرف', 'لغه', 'خطا', 'المكان', 'والكلمات', 'الفصل', 'والارقام']","['والحروف', 'والحروف', 'والحروف العربيه']"
36,36,132,36_المكان نظيف_ومتفهمه_نظيف_وحريصه,"['المكان نظيف', 'ومتفهمه', 'نظيف', 'وحريصه', 'وبشوشين', 'المكان', 'اللطافه', 'متفهمه', 'وفاهمه', 'مكان نظيف']","['المكان نظيف', 'مكان نظيف', 'نظيف', 'المكان', 'مكان', 'وين', 'كتير', 'مش', 'والاحترام', 'ابدا']","['المكان نظيف', 'المكان نظيف', 'المكان نظيف']"
37,37,125,37_ورعايه_الامام_والي_الله تبارك الله,"['ورعايه', 'الامام', 'والي', 'الله تبارك الله', 'الله تبارك', 'تبارك الله', 'ماشاء الله', 'تبارك', 'ماشاء', 'الله']","['ورعايه', 'رعايه', 'والي', 'الامام', 'تبارك', 'وجدت', 'النواحي', 'الله', '', '']","['ورعايه', 'ورعايه', 'ورعايه']"
38,38,121,38_والقران_والامهات_راقي_والمدرسات,"['والقران', 'والامهات', 'راقي', 'والمدرسات', 'الادعيه', 'ومدرسات', 'ادعيه', 'مكان', 'للامهات', 'وامهات']","['والقران', 'الكريم', 'الغيب', 'الشي', 'المكان', 'والمعلمات', 'وحفظ', 'حفظ', 'الي', 'كبير']","['والقران', 'والقران', 'والقران']"
39,39,120,39_مركز راءع_راءع_مركز_والتوفيق,"['مركز راءع', 'راءع', 'مركز', 'والتوفيق', 'رااءع', 'راءعه مركز', 'وادي', 'رحله', 'الشهاده', 'لبن']","['مركز راءع', 'راءعه مركز', 'راءع', 'رااءع', 'راءعه', 'مركز', 'وادي', 'لبن', 'والتوفيق', 'لله']","['مركز راءع', 'مركز راءع', 'مركز راءع']"
40,40,117,40_والنظافه_وتربيه_وتعامل_اجيال,"['والنظافه', 'وتربيه', 'وتعامل', 'اجيال', 'صالحه', 'وتنميه', 'عاليه', '', '', '']","['والنظافه', 'وتربيه', 'وتنميه', 'وتعامل', 'صالحه', 'اجيال', '', '', '', '']","['والنظافه', 'والنظافه', 'والنظافه']"
41,41,116,41_والعافيه_والمديره_وفعاليات_وممتازه,"['والعافيه', 'والمديره', 'وفعاليات', 'وممتازه', 'ورحلات', 'ونشاطات', 'الاهتمام', 'يارب', 'لطيفين', 'غاده']","['والعافيه', 'العافيه', 'غاده', 'والمديره', 'يارب', '', '', '', '', '']","['والعافيه', 'والعافيه', 'والعافيه']"
42,42,112,42_مدرسه راءعه_راءعه مدرسه_مدرسه_راءعه,"['مدرسه راءعه', 'راءعه مدرسه', 'مدرسه', 'راءعه', 'ماشاء الله', 'ماشاء', 'الله', 'مءهله', 'راءعه جد', 'راقيه']","['مدرسه راءعه', 'راءعه مدرسه', 'راءعه', 'راءعه جد', 'مدرسه', 'راقيه', 'مءهله', 'مدارس', 'مره', 'سنوات']","['مدرسه راءعه', 'مدرسه راءعه', 'مدرسه راءعه']"
43,43,111,43_ونظافه_عاليه_مدار_الساعه,"['ونظافه', 'عاليه', 'مدار', 'الساعه', 'كامل', 'اكثر', '', '', '', '']","['ونظافه', 'اكثر', 'مدار', 'كامل', '', '', '', '', '', '']","['ونظافه', 'ونظافه', 'ونظافه']"
